milestone_year,trials_entering_bundle,within_year_order,source,verified
2015,ELIXA,NONE,TABLE1_TRIAL_PORTFOLIO.csv; TRIAL_PRIMARY_PUBLICATION_CROSSWALK.csv,YES
2016,LEADER;SUSTAIN-6,NONE,TABLE1_TRIAL_PORTFOLIO.csv; TRIAL_PRIMARY_PUBLICATION_CROSSWALK.csv,YES
2017,EXSCEL,NONE,TABLE1_TRIAL_PORTFOLIO.csv; TRIAL_PRIMARY_PUBLICATION_CROSSWALK.csv,YES
2018,HARMONY Outcomes,NONE,TABLE1_TRIAL_PORTFOLIO.csv; TRIAL_PRIMARY_PUBLICATION_CROSSWALK.csv,YES
2019,PIONEER 6;REWIND,NONE,TABLE1_TRIAL_PORTFOLIO.csv; TRIAL_PRIMARY_PUBLICATION_CROSSWALK.csv,YES
2021,AMPLITUDE-O,NONE,TABLE1_TRIAL_PORTFOLIO.csv; TRIAL_PRIMARY_PUBLICATION_CROSSWALK.csv,YES
2025,SOUL;SURPASS-CVOT,NONE,TABLE1_TRIAL_PORTFOLIO.csv; TRIAL_PRIMARY_PUBLICATION_CROSSWALK.csv,YES
